"Date","Mean","Trend"
"Dec-1972",326.1,327.1
"Jan-1973",326.4,327.2
"Feb-1973",326.6,327.3
"Mar-1973",327.1,327.4
"Apr-1973",327.3,327.5
"May-1973",327.3,327.6
"Jun-1973",327.5,327.7
"Jul-1973",328.2,327.8
"Aug-1973",328.7,327.9
"Sep-1973",328.7,328
"Oct-1973",328.8,328.1
"Nov-1973",329.1,328.2
"Dec-1973",328.7,328.3
"Jan-1974",328.8,328.4
"Feb-1974",328.3,328.6
"Mar-1974",328.1,328.7
"Apr-1974",328.1,328.8
"May-1974",328.6,328.9
"Jun-1974",328.8,329
"Jul-1974",329.3,329.1
"Aug-1974",329.6,329.2
"Sep-1974",329.7,329.3
"Oct-1974",329.7,329.4
"Nov-1974",329.8,329.5
"Dec-1974",329.8,329.6
"Jan-1975",329.7,329.6
"Feb-1975",329.3,329.7
"Mar-1975",329.3,329.8
"Apr-1975",329.4,329.9
"May-1975",330,330
"Jun-1975",330.2,330.1
"Jul-1975",330.2,330.2
"Aug-1975",330.5,330.3
"Sep-1975",330.6,330.4
"Oct-1975",NaN,330.4
"Nov-1975",330.8,330.5
"Dec-1975",330.2,330.6
"Jan-1976",330.9,330.7
"Feb-1976",330.9,330.8
"Mar-1976",330.6,330.9
"Apr-1976",330.3,331
"May-1976",330.7,331.1
"Jun-1976",330.8,331.2
"Jul-1976",331.7,331.3
"Aug-1976",331.6,331.4
"Sep-1976",331.5,331.5
"Oct-1976",331.8,331.6
"Nov-1976",332,331.7
"Dec-1976",332,331.8
"Jan-1977",331.5,331.9
"Feb-1977",331.7,332
"Mar-1977",331.4,332.1
"Apr-1977",332,332.2
"May-1977",332.2,332.3
"Jun-1977",332.1,332.4
"Jul-1977",332.8,332.5
"Aug-1977",333.1,332.7
"Sep-1977",333.2,332.8
"Oct-1977",333.3,332.9
"Nov-1977",333.3,333
"Dec-1977",332.7,333.1
"Jan-1978",NaN,333.2
"Feb-1978",333,333.3
"Mar-1978",NaN,333.5
"Apr-1978",333.1,333.6
"May-1978",333.4,333.7
"Jun-1978",333.6,333.8
"Jul-1978",334.3,333.9
"Aug-1978",334.3,334
"Sep-1978",334.4,334.2
